STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,PCICBSA10,PCINECTA10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
17,82101,02397328,1782101,Wilmington,Wilmington city,25,C1,N,N,G4110,A,24340284,1684004,+41.3177547,-088.1432763
17,74275,02399944,1774275,Symerton,Symerton village,47,C1,N,N,G4110,A,118136,0,+41.3280036,-088.0540419
17,69758,02399813,1769758,Shorewood,Shorewood village,47,C1,N,N,G4110,A,20132703,294728,+41.5175270,-088.2151545
17,65442,02399114,1765442,Romeoville,Romeoville village,47,C1,N,N,G4110,A,47750789,826350,+41.6366697,-088.0990910
17,64902,02399104,1764902,Rockdale,Rockdale village,47,C1,N,N,G4110,A,2058216,0,+41.5057942,-088.1180857
17,59052,02399653,1759052,Peotone,Peotone village,47,C1,N,N,G4110,A,4856195,7249,+41.3315124,-087.7929804
17,52584,02399470,1752584,New Lenox,New Lenox village,47,C1,N,N,G4110,A,40560591,60419,+41.5093703,-087.9691543
17,49945,02399381,1749945,Monee,Monee village,47,C1,N,N,G4110,A,11459520,0,+41.4172678,-087.7503486
17,49854,02399380,1749854,Mokena,Mokena village,47,C1,N,N,G4110,A,23026150,7743,+41.5298631,-087.8777097
17,46357,02399240,1746357,Manhattan,Manhattan village,47,C1,N,N,G4110,A,17010437,0,+41.4201530,-087.9807195
17,44225,02395740,1744225,Lockport,Lockport city,25,C1,N,N,G4110,A,29522700,0,+41.5897493,-088.0291325
17,35835,02398535,1735835,Homer Glen,Homer Glen village,47,C1,N,N,G4110,A,57428264,102626,+41.6051512,-087.9523515
17,23945,02398822,1723945,Elwood,Elwood village,47,C1,N,N,G4110,A,16908608,0,+41.4070902,-088.1273144
17,17458,02393670,1717458,Crest Hill,Crest Hill city,25,C1,N,N,G4110,A,23398361,353454,+41.5737709,-088.1110250
17,07770,02394237,1707770,Braidwood,Braidwood city,25,C1,N,N,G4110,A,11861512,477544,+41.2691264,-088.2202728
17,04585,02398066,1704585,Beecher,Beecher village,47,C1,N,N,G4110,A,7669270,0,+41.3503110,-087.6170203
17,49308,02399361,1749308,Millington,Millington village,47,C1,N,N,G4110,A,1779038,142185,+41.5605161,-088.6042243
17,70460,02399838,1770460,Somonauk,Somonauk village,47,C1,N,N,G4110,A,6254394,13221,+41.6347474,-088.6874763
17,82985,02397360,1782985,Wood Dale,Wood Dale city,25,C1,N,N,G4110,A,12228930,295316,+41.9663062,-087.9808506
17,82400,02399715,1782400,Winfield,Winfield village,47,C1,N,N,G4110,A,7748043,103452,+41.8774415,-088.1510963
17,81919,02399702,1781919,Willowbrook,Willowbrook village,47,C1,N,N,G4110,A,6957477,159729,+41.7619149,-087.9458256
17,81048,02397294,1781048,Wheaton,Wheaton city,25,C1,N,N,G4110,A,29143125,482435,+41.8561337,-088.1074529
17,80645,02400153,1780645,Westmont,Westmont village,47,C1,N,N,G4110,A,13026617,273816,+41.7943709,-087.9728597
17,80060,02397264,1780060,West Chicago,West Chicago city,25,C1,N,N,G4110,A,38325822,882420,+41.9143696,-088.2483426
17,78929,02397197,1778929,Warrenville,Warrenville city,25,C1,N,N,G4110,A,14138462,409511,+41.8209458,-088.1875049
17,77993,02400070,1777993,Villa Park,Villa Park village,47,C1,N,N,G4110,A,12187783,126509,+41.8856124,-087.9782345
17,54560,02395286,1754560,Oakbrook Terrace,Oakbrook Terrace city,25,C1,N,N,G4110,A,3226551,73226,+41.8533736,-087.9691755
17,44407,02398468,1744407,Lombard,Lombard village,47,C1,N,N,G4110,A,26552976,515675,+41.8738441,-088.0154914
17,43939,02398450,1743939,Lisle,Lisle village,47,C1,N,N,G4110,A,17716219,469995,+41.7921110,-088.0877054
17,37907,02398280,1737907,Itasca,Itasca village,47,C1,N,N,G4110,A,12824191,318750,+41.9766165,-088.0187752
17,29756,02398972,1729756,Glen Ellyn,Glen Ellyn village,47,C1,N,N,G4110,A,17122671,423423,+41.8667152,-088.0627106
17,29730,02398974,1729730,Glendale Heights,Glendale Heights village,47,C1,N,N,G4110,A,13914602,362528,+41.9188772,-088.0780946
17,20591,02398745,1720591,Downers Grove,Downers Grove village,47,C1,N,N,G4110,A,37050190,381268,+41.7950271,-088.0212315
17,18628,02393720,1718628,Darien,Darien city,25,C1,N,N,G4110,A,16001046,319211,+41.7456625,-087.9814940
17,14572,02397629,1714572,Clarendon Hills,Clarendon Hills village,47,C1,N,N,G4110,A,4668684,26085,+41.7984473,-087.9572388
17,11332,02397559,1711332,Carol Stream,Carol Stream village,47,C1,N,N,G4110,A,23552954,844651,+41.9198965,-088.1332546
17,06587,02398138,1706587,Bloomingdale,Bloomingdale village,47,C1,N,N,G4110,A,17567247,672107,+41.9514805,-088.0891120
17,00243,02397911,1700243,Addison,Addison village,47,C1,N,N,G4110,A,25299553,543789,+41.9313729,-088.0088433
17,82049,02399701,1782049,Willow Springs,Willow Springs village,47,C1,N,N,G4110,A,10398012,273272,+41.7345434,-087.8841693
17,68003,02399769,1768003,Schaumburg,Schaumburg village,47,C1,Y,N,G4110,A,49775025,291736,+42.0293508,-088.0836415
17,65806,02399122,1765806,Roselle,Roselle village,47,C1,N,N,G4110,A,14015837,188273,+41.9802869,-088.0856054
17,54534,02399533,1754534,Oak Brook,Oak Brook village,47,C1,N,N,G4110,A,20588072,850951,+41.8366099,-087.9534717
17,35307,02398514,1735307,Hinsdale,Hinsdale village,47,C1,N,N,G4110,A,11921483,85634,+41.8006826,-087.9281725
17,32746,02398244,1732746,Hanover Park,Hanover Park village,47,C1,N,N,G4110,A,16391790,271984,+41.9814441,-088.1425199
17,23620,02394673,1723620,Elmhurst,Elmhurst city,25,C1,N,N,G4110,A,26556780,145786,+41.8960184,-087.9436583
17,23256,02398803,1723256,Elk Grove Village,Elk Grove Village village,47,C1,N,N,G4110,A,29377816,176406,+42.0057778,-087.9930339
17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589571105,16781658,+41.8375511,-087.6818441
17,09980,02397506,1709980,Burr Ridge,Burr Ridge village,47,C1,N,N,G4110,A,18120454,364208,+41.7478977,-087.9201050
17,05248,02398095,1705248,Bensenville,Bensenville village,47,C1,N,N,G4110,A,14419675,124561,+41.9597005,-087.9434600
17,83245,02399735,1783245,Woodridge,Woodridge village,47,C1,N,N,G4110,A,24404002,418817,+41.7375303,-088.0446074
17,51622,02395147,1751622,Naperville,Naperville city,25,C1,Y,N,G4110,A,100411651,1433461,+41.7491725,-088.1620190
17,42795,02398417,1742795,Lemont,Lemont village,47,C1,N,N,G4110,A,20634905,994929,+41.6673438,-087.9843995
17,07133,02398147,1707133,Bolingbrook,Bolingbrook village,47,C1,N,N,G4110,A,62286580,536816,+41.6911195,-088.1015655
17,83349,02397372,1783349,Woodstock,Woodstock city,25,C1,N,N,G4110,A,35096589,0,+42.3102657,-088.4356536
17,82855,02399729,1782855,Wonder Lake,Wonder Lake village,47,C1,N,N,G4110,A,12383632,2964834,+42.3770209,-088.3494358
17,76706,02400020,1776706,Union,Union village,47,C1,N,N,G4110,A,2150732,0,+42.2314057,-088.5446930
17,76160,02400004,1776160,Trout Valley,Trout Valley village,47,C1,N,N,G4110,A,1115990,4578,+42.1960292,-088.2512029
17,72052,02399876,1772052,Spring Grove,Spring Grove village,47,C1,N,N,G4110,A,22487998,80124,+42.4500143,-088.2419518
17,64135,02399076,1764135,Ringwood,Ringwood village,47,C1,N,N,G4110,A,9985900,0,+42.3975235,-088.3032085
17,63641,02399067,1763641,Richmond,Richmond village,47,C1,N,N,G4110,A,10940224,0,+42.4638160,-088.3087442
17,61678,02399020,1761678,Prairie Grove,Prairie Grove village,47,C1,N,N,G4110,A,14787641,10139,+42.2739333,-088.2698759
17,55041,02399549,1755041,Oakwood Hills,Oakwood Hills village,47,C1,N,N,G4110,A,3051538,212848,+42.2475678,-088.2397539
17,46786,02395004,1746786,Marengo,Marengo city,25,C1,N,N,G4110,A,12976116,0,+42.2473371,-088.6063398
17,45694,02395070,1745694,McHenry,McHenry city,25,C1,N,N,G4110,A,38179376,1125374,+42.3395039,-088.2930101
17,45616,02399292,1745616,McCullom Lake,McCullom Lake village,47,C1,N,N,G4110,A,969222,0,+42.3686507,-088.2967991
17,41651,02398390,1741651,Lakewood,Lakewood village,47,C1,N,N,G4110,A,9495961,786877,+42.2239087,-088.3866189
17,41183,02398378,1741183,Lake in the Hills,Lake in the Hills village,47,C1,N,N,G4110,A,26876374,606544,+42.1795425,-088.3157213
17,38479,02398304,1738479,Johnsburg,Johnsburg village,47,C1,N,N,G4110,A,18333613,1538636,+42.3848743,-088.2467411
17,35515,02398523,1735515,Holiday Hills,Holiday Hills village,47,C1,N,N,G4110,A,2463442,103164,+42.2967907,-088.2284412
17,33851,02398482,1733851,Hebron,Hebron village,47,C1,N,N,G4110,A,5062732,0,+42.4651370,-088.4342725
17,33331,02394315,1733331,Harvard,Harvard city,25,C1,N,N,G4110,A,22212944,0,+42.4308090,-088.6184597
17,31667,02398207,1731667,Greenwood,Greenwood village,47,C1,N,N,G4110,A,4808934,0,+42.3915622,-088.3894590
17,17887,02393685,1717887,Crystal Lake,Crystal Lake city,25,C1,N,N,G4110,A,47531410,1573314,+42.2325535,-088.3353312
17,11592,02397566,1711592,Cary,Cary village,47,C1,N,N,G4110,A,16236636,226707,+42.2121439,-088.2496274
17,09531,02397492,1709531,Bull Valley,Bull Valley village,47,C1,N,N,G4110,A,22655301,27658,+42.3233964,-088.3609365
17,35268,02398512,1735268,Hinckley,Hinckley village,47,C1,N,N,G4110,A,2178932,20825,+41.7714351,-088.6390004
17,28898,02394879,1728898,Genoa,Genoa city,25,C1,N,N,G4110,A,6736496,142285,+42.0910347,-088.6949641
17,19161,02394494,1719161,DeKalb,DeKalb city,25,C1,N,N,G4110,A,37945652,420154,+41.9306139,-088.7478300
17,16470,02396662,1716470,Cortland,Cortland town,43,C1,N,N,G4110,A,9401121,20220,+41.9376998,-088.6913961
17,67548,02396534,1767548,Sandwich,Sandwich city,25,C1,N,N,G4110,A,12146158,41618,+41.6500669,-088.6190214
17,79163,02400104,1779163,Waterman,Waterman village,47,C1,N,N,G4110,A,3821118,4896,+41.7656896,-088.7630573
17,74223,02396018,1774223,Sycamore,Sycamore city,25,C1,N,N,G4110,A,25201489,99273,+41.9966996,-088.6775259
17,68822,02399789,1768822,Shabbona,Shabbona village,47,C1,N,N,G4110,A,2144198,2556,+41.7650671,-088.8763221
17,46279,02399234,1746279,Malta,Malta village,47,C1,N,N,G4110,A,1485625,87552,+41.9294404,-088.8659911
17,40156,02398361,1740156,Kirkland,Kirkland village,47,C1,N,N,G4110,A,3147706,31620,+42.0901642,-088.8486250
17,40065,02398353,1740065,Kingston,Kingston village,47,C1,N,N,G4110,A,2569193,65893,+42.1010616,-088.7631971
17,60391,02399688,1760391,Plattville,Plattville village,47,C1,N,N,G4110,A,5886510,0,+41.5335685,-088.3851848
17,84038,02397394,1784038,Yorkville,Yorkville city,25,C1,N,N,G4110,A,51711701,227860,+41.6566639,-088.4363724
17,60352,02396223,1760352,Plano,Plano city,25,C1,N,N,G4110,A,19315539,112191,+41.6686935,-088.5250394
17,56887,02399593,1756887,Oswego,Oswego village,47,C1,N,N,G4110,A,40216610,274932,+41.6832202,-088.3388488
17,52103,02399488,1752103,Newark,Newark village,47,C1,N,N,G4110,A,2891609,259,+41.5365941,-088.5805624
17,49100,02399351,1749100,Millbrook,Millbrook village,47,C1,N,N,G4110,A,5385378,0,+41.6049934,-088.5448902
17,43900,02398449,1743900,Lisbon,Lisbon village,47,C1,N,N,G4110,A,4505968,0,+41.4789815,-088.4599079
17,60287,02399684,1760287,Plainfield,Plainfield village,47,C1,N,N,G4110,A,60150697,2534965,+41.6305019,-088.2450245
17,38570,02395477,1738570,Joliet,Joliet city,25,C1,Y,N,G4110,A,160873843,1704350,+41.5180664,-088.1583542
17,83518,02399742,1783518,Worth,Worth village,47,C1,N,N,G4110,A,6135155,33038,+41.6873250,-087.7925279
17,82530,02399718,1782530,Winnetka,Winnetka village,47,C1,N,N,G4110,A,9868394,214305,+42.1062103,-087.7427639
17,82075,02399704,1782075,Wilmette,Wilmette village,47,C1,N,N,G4110,A,13994214,23599,+42.0773232,-087.7286214
17,80242,02400150,1780242,Western Springs,Western Springs village,47,C1,N,N,G4110,A,7231041,0,+41.8022270,-087.9005583
17,80047,02400148,1780047,Westchester,Westchester village,47,C1,N,N,G4110,A,9547006,0,+41.8491979,-087.8906185
17,75185,02399975,1775185,Thornton,Thornton village,47,C1,N,N,G4110,A,6083223,67750,+41.5741485,-087.6193001
17,73638,02399930,1773638,Summit,Summit village,47,C1,N,N,G4110,A,5486969,353723,+41.7884523,-087.8139211
17,73157,02399920,1773157,Streamwood,Streamwood village,47,C1,N,N,G4110,A,20241390,86799,+42.0205861,-088.1777706
17,72923,02399908,1772923,Stone Park,Stone Park village,47,C1,N,N,G4110,A,889932,0,+41.9032361,-087.8807008
17,72676,02399900,1772676,Stickney,Stickney village,47,C1,N,N,G4110,A,4985988,94151,+41.8170254,-087.7737005
17,70850,02399849,1770850,South Holland,South Holland village,47,C1,N,N,G4110,A,18819565,40377,+41.5981633,-087.6026592
17,70629,02399845,1770629,South Chicago Heights,South Chicago Heights village,47,C1,N,N,G4110,A,4094550,42091,+41.4834057,-087.6372011
17,70564,02399841,1770564,South Barrington,South Barrington village,47,C1,N,N,G4110,A,19018476,722407,+42.0912192,-088.1569484
17,70122,02399827,1770122,Skokie,Skokie village,47,C1,Y,N,G4110,A,26062662,0,+42.0359715,-087.7399914
17,68081,02399770,1768081,Schiller Park,Schiller Park village,47,C1,N,N,G4110,A,7171286,0,+41.9586291,-087.8693194
17,65819,02399123,1765819,Rosemont,Rosemont village,47,C1,N,N,G4110,A,4641998,0,+41.9889823,-087.8717469
17,65338,02396420,1765338,Rolling Meadows,Rolling Meadows city,25,C1,N,N,G4110,A,14586916,11945,+42.0749095,-088.0253634
17,64616,02399096,1764616,Robbins,Robbins village,47,C1,N,N,G4110,A,3752569,0,+41.6431243,-087.7081034
17,64421,02399090,1764421,Riverside,Riverside village,47,C1,N,N,G4110,A,5124132,45405,+41.8309556,-087.8158544
17,64343,02399085,1764343,River Grove,River Grove village,47,C1,N,N,G4110,A,6194537,0,+41.9242709,-087.8379259
17,64304,02399084,1764304,River Forest,River Forest village,47,C1,N,N,G4110,A,6410886,4794,+41.8948750,-087.8190635
17,64278,02399086,1764278,Riverdale,Riverdale village,47,C1,N,N,G4110,A,9257334,452981,+41.6426915,-087.6363332
17,63706,02399068,1763706,Richton Park,Richton Park village,47,C1,N,N,G4110,A,10314028,31490,+41.4806790,-087.7355610
17,62016,02396288,1762016,Prospect Heights,Prospect Heights city,25,C1,N,N,G4110,A,10974495,75022,+42.1031853,-087.9248383
